"{0.0497, 0.0497, 1.}","{0.00174000000000055, -0.0015849999999999025, -9.462064999999996}"
"{0.007892158119658139, 0.04531271175805616, 0.4368072471285952}","{0.28525999999999874, 0.031355000000000174, -7.918200000000031}"
"{0.0033502365397760137, 0.03888976290969036, 0.258102761402377}","{0.5754800000000007, 0.1891549999999996, -6.412635000000006}"
"{0.0020235012267374973, 0.03472626874210626, 0.1687949716486935}","{0.8614750000000014, 0.4145899999999986, -4.875125000000015}"
"{0.0013523252874641629, 0.029661611822621746, 0.11666462335534782}","{1.146624999999999, 0.7603600000000026, -3.4123999999999977}"
"{0.0008592773670406435, 0.025017327306936996, 0.0808027340773917}","{1.439115000000002, 1.1986199999999987, -1.884569999999996}"
"{0.0006307988518950878, 0.020148811992622577, 0.05539381701398985}","{1.718065000000002, 1.7525800000000054, -0.36473}"
"{0.0004063314463534992, 0.014967916825169493, 0.03639114606048869}","{2.008660000000003, 2.4432700000000085, 1.1478250000000028}"
"{0.00020843237544793296, 0.01003590545230008, 0.021546428235946515}","{2.2992150000000007, 3.2320849999999965, 2.667444999999998}"
"{0.00008817220690552523, 0.005070601344298213, 0.009674442344422088}","{2.5813099999999998, 4.138644999999987, 4.184834999999995}"
"{0., 0., 0.}","{2.8712899999999983, 5.169965000000001, 5.696075000000013}"
